Frequency,Real,Imaginary
729600000,-1.0411376953125,-0.22216796875
729650000,-1.0699462890625,0.0
729700000,-1.05029296875,0.22314453125
729750000,-0.984375,0.439697265625
729800000,-0.874755859375,0.635986328125
729850000,-0.726806640625,0.8062744140625
729900000,-0.54443359375,0.943115234375
729950000,-0.33984375,1.0377197265625
730000000,-0.1185302734375,1.08935546875
730050000,0.108642578125,1.0916748046875
730100000,0.33251953125,1.0504150390625
730150000,0.5439453125,0.9610595703125
730200000,0.730712890625,0.8287353515625
730250000,0.8875732421875,0.66259765625
730300000,1.0068359375,0.4666748046875
730350000,1.0838623046875,0.24853515625
730400000,1.1126708984375,0.022216796875
730450000,1.0960693359375,-0.206787109375
730500000,1.03076171875,-0.4267578125
730550000,0.9237060546875,-0.630615234375
730600000,0.7745361328125,-0.8082275390625
730650000,0.593994140625,-0.9498291015625
730700000,0.3878173828125,-1.0528564453125
730750000,0.1639404296875,-1.10986328125
730800000,-0.06689453125,-1.1214599609375
730850000,-0.2945556640625,-1.0853271484375
730900000,-0.5093994140625,-1.0018310546875
730950000,-0.7041015625,-0.87744140625
731000000,-0.867919921875,-0.7149658203125
731050000,-0.9976806640625,-0.5230712890625
731100000,-1.0836181640625,-0.3095703125
731150000,-1.1234130859375,-0.08203125
731200000,-1.117919921875,0.1488037109375
731250000,-1.064453125,0.3724365234375
731300000,-0.9676513671875,0.5811767578125
731350000,-0.826904296875,0.765869140625
731400000,-0.6551513671875,0.9189453125
731450000,-0.453369140625,1.031982421875
731500000,-0.2354736328125,1.1014404296875
731550000,-0.0047607421875,1.1260986328125
731600000,0.22265625,1.1038818359375
731650000,0.4434814453125,1.03564453125
731700000,0.64404296875,0.92333984375
731750000,0.8170166015625,0.7740478515625
731800000,0.956298828125,0.5921630859375
731850000,1.0555419921875,0.3834228515625
731900000,1.111328125,0.163330078125
731950000,1.119873046875,-0.06689453125
732000000,1.0823974609375,-0.29150390625
732050000,1.0006103515625,-0.5040283203125
732100000,0.8780517578125,-0.696044921875
732150000,0.716796875,-0.857177734375
732200000,0.52880859375,-0.984375
732250000,0.318115234375,-1.0697021484375
732300000,0.0955810546875,-1.11181640625
732350000,-0.130859375,-1.106689453125
732400000,-0.3505859375,-1.0570068359375
732450000,-0.5560302734375,-0.9617919921875
732500000,-0.7398681640625,-0.83056640625
732550000,-0.889892578125,-0.6619873046875
732600000,-1.0035400390625,-0.4691162109375
732650000,-1.078369140625,-0.2568359375
732700000,-1.10498046875,-0.0340576171875
732750000,-1.0882568359375,0.189697265625
732800000,-1.026611328125,0.406494140625
732850000,-0.923583984375,0.6033935546875
732900000,-0.781494140625,0.7757568359375
732950000,-0.610595703125,0.9168701171875
733000000,-0.4100341796875,1.0216064453125
733050000,-0.196533203125,1.0814208984375
733100000,0.0238037109375,1.09765625
733150000,0.24609375,1.0693359375
733200000,0.455322265625,0.997314453125
733250000,0.64453125,0.8846435546875
733300000,0.808349609375,0.736572265625
733350000,0.940185546875,0.559326171875
733400000,1.03369140625,0.3555908203125
733450000,1.0855712890625,0.142822265625
733500000,1.0899658203125,-0.0771484375
733550000,1.0521240234375,-0.2962646484375
733600000,0.9700927734375,-0.502197265625
733650000,0.84912109375,-0.686767578125
733700000,0.6947021484375,-0.843017578125
733750000,0.5111083984375,-0.963623046875
733800000,0.30517578125,-1.0469970703125
733850000,0.087646484375,-1.0877685546875
733900000,-0.1322021484375,-1.0841064453125
733950000,-0.34619140625,-1.03564453125
